State,v001_rawvalue_norm,v127_rawvalue_norm,v128_rawvalue_norm,v129_rawvalue_norm,v135_rawvalue_norm,v161_rawvalue_norm,v015_rawvalue_norm,v039_rawvalue_norm,v148_rawvalue_norm,v125_rawvalue_norm,v124_rawvalue_norm,v179_rawvalue_norm,v182_rawvalue_norm,v166_rawvalue_norm,v181_rawvalue_norm,v156_rawvalue_norm,v134_rawvalue_norm,v139_rawvalue_norm,v083_rawvalue_norm,v133_rawvalue_norm,v155_rawvalue_norm,hate_crime_count,hate_crime_norm,target_index,Percentile_Class
OR,0.8311909157902726,0.8210692683919234,0.8120250778501895,0.8425116744070404,0.6718783030820165,0.4182730816418804,0.9027654497817825,0.6673992132463218,0.5542880871758471,0.0,0.2964686953178155,0.6843423037263087,0.422871042673282,0.874779459729701,0.5745083420026447,0.7746537623507346,0.6532592803271451,0.5450857903853301,0.7323756015895622,0.5566372503272393,0.49827180920569,,,0.5970297458637603,3
PA,0.6899555084992308,0.6957169080549225,0.6465914449039397,0.5794285741044548,0.5748410665116264,0.6584112349021445,0.7468733333256248,0.8180480845172604,0.5762882413126496,0.5633735091162593,0.2646634280775326,0.3268861383196251,1.0,0.5994900782012069,0.34778677732497215,0.7450328073928898,0.7210671653814626,0.6543732346357862,0.7392473522014144,0.779217136282284,0.8965899098059075,,,0.6192673605850543,4
RI,0.9286160718552527,0.9115529385406071,0.9136443234156985,0.7079923941251949,0.6883995560581508,0.8367736951945931,0.955853447445497,0.9494815076206231,0.965282094440351,0.7290077024502153,0.3259285199497941,0.5338388936084124,0.6665306113033866,0.7916784261549689,0.6159520515078301,0.5570990871292939,0.04212387768827963,0.7646695128176608,0.7319096153614629,0.9707140814619746,0.7989093787953887,,,0.6993617175874836,5
SC,0.3386694016089755,0.3900421937237093,0.35466172320376055,0.3846202513488466,0.45535401964490463,0.5788533230419879,0.5863622727688196,0.23740043397336463,0.292047828887954,0.6061082948283362,0.7816381864038247,0.12819817668594172,0.5277154930588928,0.44489839741865045,0.2861975552309812,0.9644378956376458,0.42673123528344226,0.5766946509360098,0.2877202238106127,0.600940207621896,0.7374327094907112,,,0.4539420215731485,1
SD,0.586150559121486,0.6800238195362851,0.315793975000938,0.39400611600317237,0.6709684620291337,0.3316810162711149,0.8221022265143554,0.4427500494795621,0.5547696317757086,0.8170283201088205,0.8195710658166607,0.27745383456496014,0.3323121735425122,0.5965790880160418,0.7641960574212432,0.9214964273275511,0.4004125022483831,0.6929210265461725,0.39877374970118373,0.3252006245620439,0.6912206701582744,,,0.5379732452611639,2
TN,0.2332574740990072,0.23958688764687486,0.37044208724046734,0.384461523133505,0.35658334378901824,0.5239818300266124,0.6111198431078633,0.4242717345621554,0.29196539291710544,0.6336733159994489,0.888145385343376,0.19291939226282584,0.7478613307579185,0.5017672612265806,0.2488507302691103,0.9364192070783715,0.7516589704734673,0.42996706653119876,0.3644446419658358,0.4098455702017922,0.7198051659411305,,,0.46641037066243934,1
TX,0.693909181196642,0.6481406679528727,0.601055252756558,0.6337650437211164,0.9284670102999254,0.6640814808651205,0.7619486987326577,0.5998437960401479,0.5600344641971572,0.5097724643807071,0.4116325396477515,0.41264204144740063,0.0,0.7281358448389046,0.23420135946774467,0.8252571097131649,0.7228731245786408,0.22264278717706787,0.4101960693478557,0.19042031434426948,0.580383873023109,,,0.515427414714946,2
UT,0.9424658030480461,0.962173952287162,0.7052434643666503,0.6746061090421753,0.8974034620498926,0.3357633107329502,0.9516734620937957,0.8566900170506057,0.6082017998835838,0.6431622299849811,0.16218226464064345,0.5177252465751563,0.422277763910218,0.981010601589842,0.7696191536253648,0.807503242708046,0.8053457845039478,0.6146961154990812,0.6341198582110192,0.4366740283702531,0.6639961700936963,,,0.654206083648505,4
VA,0.756218113316954,0.7679961877375777,0.608559491207209,0.5876591589185689,0.8242125285871628,0.6804016421301196,0.7885516424612123,0.7552273021417322,0.5821998532303526,0.7018115780556919,0.8970037830270385,0.41283270410461864,0.9845928437176849,0.7276558363432751,0.46867252220932293,0.8271606949892698,0.5583777451281741,0.759797940850871,0.7523393407458618,0.5971122854828205,0.7291479679345693,,,0.6712514164690948,4
VT,0.8400871655723389,0.8896555282034087,0.8797897845272673,0.9206850810196129,0.5118141055848391,0.46143477463617344,0.9777006189119319,0.7682694339714848,0.6336459721386761,0.7740333892160788,0.6155499724788047,0.16926126554567456,0.5602718285436106,0.5423751327754694,0.7646436190221119,0.988212124300107,0.4380796797111418,0.6754838482057501,0.8803512262697571,0.9013596264011521,0.7469914941288396,,,0.6790770759620105,5
WA,0.8909025102870786,0.8969783433996485,0.7774769023576186,0.8823974289295242,0.7807955541820817,0.5884108918795832,0.8893796484017895,0.8528165634705986,0.6660503215776071,0.3464281478371084,0.5497664742600987,0.5343179484853154,0.4436325436621624,1.0,0.5703732619202685,0.7472721154618392,0.4761614299330218,0.6898489615005472,0.6965314400454292,0.553288828012122,0.6341394512053979,,,0.657589489400402,4
WI,0.8020671650402786,0.8289565624795443,0.6492847000203681,0.5380256966568056,0.5673672676500237,0.6207312282191921,0.8271439305770519,0.7650815957245617,0.6422569585729123,0.5949859807075533,0.5525022062500873,0.5233482170054969,0.8139848343781223,0.6574489826445776,0.8214637962975,0.5524238721305346,0.4437272800191804,0.7923948187163734,0.7031223739297441,0.8290647358696253,0.8511057449446764,,,0.653476724901555,4
WV,0.002140078627126396,0.015839068657856004,0.4533172477294366,0.3061403615289575,0.0,0.4006138419197872,0.7800774402829064,0.48723432022265023,0.39536161524468205,0.7006269094469355,0.5278087995578848,0.06239008087198623,0.9718410526701504,0.2222532490851396,0.18880106508665023,0.9845836893160991,0.7121882547850833,0.3829683925089229,0.4841650240781894,0.4644281411614892,0.44618251450316093,,,0.40858914305841343,1
WY,0.5902633114270317,0.6183771896636294,0.4228221222903712,0.5993858503642405,0.5378734864429043,0.0,0.8864607094474303,0.4347898581529087,0.13573081888111038,0.8956931930058843,0.3575189227835365,0.37937460178523974,0.6511285696713545,0.6496314168888624,1.0,0.964969050596188,0.46606288592124734,0.42891169639712745,0.4446782485584987,0.5958469857303955,0.41636541288085843,,,0.5216311059494918,2
